id	name	gender	origin	franchise	motive	motive_description
cammy	Cammy White	Female	GB	Street Fighter	For Duty	She is an MI6 operative for the British government.
cassie	Cassie Cage	Female	US	Mortal Kombat	For Duty	She is a sergeant serving in the Special Forces, and the daughter of Johnny Cage and Sonya Blade.
nash	Charlie Nash	Male	US	Street Fighter	For Duty	He is a former Captain of the United States Air Force and friend of Guile.
christie	Christie	Female	GB	Dead or Alive	Antisocial	A cold-blooded woman with a sadistic streak, she was hired by Victor Donovan to kill Helena Douglas.
christie	Christie Monteiro	Female	BR	Tekken	For a Male	She mainly involves herself in The King of Iron Fist Tournaments in search for a cure for her grandfather.
chun_li	Chun-Li	Female	CN	Street Fighter	For a Male	She relentlessly seeks revenge for the death of her father at the hands of M. Bison.
claudio	Claudio Serafino	Male	IT	Tekken	For Duty	He is a leader of a secret Anti-Devil organization in combating the Devil Gene's threat.
cody	Cody Travers	Male	US	Street Fighter	Antisocial	He is extremely aloof, apathetic, doubtful, and pugnacious, occasionally breaking out of prison just to fight and relieve his boredom.
cracker_jack	Cracker Jack	Male	US	Street Fighter Spinoffs	For Duty	He is a bouncer turned bodyguard, currently employed by the family of Blair Dame.
craig	Craig Marduk	Male	AU	Tekken	Dominance	He is an Australian undefeated Vale Tudo fighter.
viper	Crimson Viper	Female	US	Street Fighter	For Duty	She is an undercover CIA agent who fights using an assortment of gadgets hidden within her battle suit.
cyrax	Cyrax	Male	BW	Mortal Kombat	Antisocial	He is one of the three cybernetic ninjas created by the Lin Kuei, as unfeeling, cold-hearted, cybernetic assassins.
dan	Dan Hibiki	Male	CN	Street Fighter	For a Male	He set on a quest to find Sagat and take vengeance for his father's death.
darun	Darun Mister	Male	IN	Street Fighter Spinoffs	For Duty	He is an Indian wrestling champion and personal bodyguard for Pullum Purna.
decapre	Decapre	Female	JP	Street Fighter	For Duty	She is a member of M. Bison's elite guard, an imperfect product of the Shadaloo cloning experiments.
dee_jay	Dee Jay	Male	JM	Street Fighter	Dominance	He is a Jamaican kickboxer who is not just a fighter, but also a world famous musician and artist.
dhalsim	Dhalsim	Male	IN	Street Fighter	Save the World	He enters the tournament to raise money for his village, and continues to roam the world helping those in need.
bosconovitch	Dr. Bosconovitch	Male	RU	Tekken	For Duty	He is a former Soviet scientist involved in cloning and is the one responsible for the creation the Jack androids.
dudley	Dudley	Male	GB	Street Fighter	Dominance	He boxes, seeking perfection both in and out of the ring.
eagle	Eagle	Male	GB	Street Fighter	For Duty	He is an English bouncer and a master of the stick fighting martial art, Bōjutsu.
ed	Ed	Male	N/A	Street Fighter	For Duty	He is the protégé of Balrog, a potential substitute body for M. Bison.
eddy	Eddy Gordo	Male	BR	Tekken	For a Male	His storyline revolves around his quest for revenge for the murder of his parents.
honda	Edmond Honda	Male	JP	Street Fighter	Dominance	He is intent on showing everyone that sumo wrestlers rank among the greatest fighters in the world.
el_fuerte	El Fuerte	Male	MX	Street Fighter	Dominance	He travels the world in an effort to perfect his lucha libre skills and hone his cooking abilities.
elena	Elena	Female	KE	Street Fighter	Indefinite	Elena desires to travel around the world, meeting new friends along the way.
eliot	Eliot	Male	GB	Dead or Alive	For a Male	He is the apprentice of Gen Fu.
eliza	Eliza	Female	MC	Tekken	Dominance	She plans an exact revenge on the present day Sirius organization.
f_a_n_g	F.A.N.G	Male	CN	Street Fighter	For Duty	He is the second-in-command of Shadaloo, ranking only below M. Bison in the hierarchy.
f7	F7	Male	US	Street Fighter Spinoffs	For Duty	He is an elite soldier of Shadaloo who specializes in many forms of combat.
fei_long	Fei Long	Male	CN	Street Fighter	Dominance	He is an action film star from Hong Kong who enters tournaments to test his skill as a martial artist.
feng	Feng Wei	Male	CN	Tekken	Dominance	He seeks the secrets of the God Fist scrolls that were stolen by the Mishima family.
forest_law	Forest Law	Male	US	Tekken	For a Male	He hopes to duplicate his father's greatness as a fighter.
frost	Frost	Female	CN	Mortal Kombat	Dominance	Her dedication to fighting and learning is overshadowed by her arrogance and hostility.
ganryu	Ganryu	Male	JP	Tekken	For Duty	Heihachi Mishima hires him as a henchman for the first King of Iron Fist tournament.
garuda	Garuda	Male	N/A	Street Fighter Spinoffs	Dominance	He is a demonic samurai capable of absorbing negative energies to strengthen his own power.
geese_howard	Geese Howard	Male	US	Tekken	For Duty	He is the local crime boss of the fictional city of South Town.
gen	Gen	Male	CN	Street Fighter	Dominance	He entered the first World Warrior tournament to find worthy opponents.
gen_fu	Gen Fu	Male	CN	Dead or Alive	For a Female	He joined the Dead or Alive Tournaments to help his sick granddaughter, Mei Lin.
genra	Genra	Male	JP	Dead or Alive	Antisocial	He let himself be experimented on, turning him into a heartless weapon of destruction.
gill	Gill	Male	N/A	Street Fighter	Dominance	He is the leader of a secret society that seeks to fulfill an apocalyptic agenda.
gouken	Gouken	Male	JP	Street Fighter	Dominance	He is a master martial artist and mentor to Ryu and Ken as well as the older brother of Akuma.
guile	Guile	Male	US	Street Fighter	For Duty	He is a major in the United States Air Force whose goal is to finish the criminal organization Shadaloo.
guy	Guy	Male	JP	Street Fighter	Indefinite	He is a red-clad ninpō master of Japanese descent who has been taught the special Bushin form of Ninjutsu.
hakan	Hakan	Male	TR	Street Fighter	Dominance	He enters the tournament to showcase his skills, and to find inspiration for a new oil recipe.
hayate	Hayate	Male	JP	Street Fighter Spinoffs	For a Male	He is a noble samurai attempting to follow the footsteps of his legendary missing father.
hayateDOA	Hayate	Male	JP	Dead or Alive	Unclear	He joins the second Dead or Alive Tournament, to find answers to his lost past.
heihachi	Heihachi Mishima	Male	JP	Tekken	Dominance	He is the leader of an empire known as the Mishima Zaibatsu.
helena	Helena Douglas	Female	FR	Dead or Alive	For a Female	She enters the Dead or Alive Tournament to find the assassin who killed her mother.
hitomi	Hitomi	Female	DE	Dead or Alive	For a Male	She enters the Dead or Alive Tournaments either to prove her skills or to see Hayate.
hokuto	Hokuto	Female	JP	Street Fighter Spinoffs	For a Male	She sets off to a journey to reunite with her brother.
honoka	Honoka	Female	JP	Dead or Alive	Unclear	She is a sweet, easygoing kind of girl, but when she sees a fight, she cannot contain her excitement.
hsu	Hsu Hao	Male	MN	Mortal Kombat	Antisocial	He is an evil, deceptive Mongolian grappler member of the Red Dragon clan.
hugo	Hugo	Male	DE	Street Fighter	For Duty	He is a former member of the Mad Gear Gang.
hwoarang	Hwoarang	Male	KO	Tekken	For a Male	He is the Taekwondo student of Baek Doo San, and entered the third Tournament to get revenge for his master.
ibuki	Ibuki	Female	JP	Street Fighter	For Duty	She is a young ninja-in-training from an ancient clan that would rather live a normal life of a modern Japanese teenager.
ingrid	Ingrid	Female	N/A	Street Fighter	Indefinite	She is an enigmatic and powerful being of unknown origin with an important yet mysterious destiny.
irene	Irene Lew	Female	US	Dead or Alive	For Duty	She is a CIA agent and an ally of Ryu Hayabusa.
isaak	Isaak	Male	N/A	Tekken Spinoffs	Unclear	His nationality is unknown, even his fighting style is not known.
jack7	Jack	Male	RU	Tekken	For Duty	The various Jack models were originally created by the Mishima Zaibatsu and G Corporation for different purposes.
jacky	Jacky Bryant	Male	US	Dead or Alive	Unclear	He values his racing career and would do anything to protect it.
jacqui	Jacqui Briggs	Female	US	Mortal Kombat	For a Male	She wants to avenge her father from the suffering he endured from Quan Chi and Ermac.
jann	Jann Lee	Male	CN	Dead or Alive	Dominance	His only goal is to become the greatest fighter of all time.
jarek	Jarek	Male	N/A	Mortal Kombat	Antisocial	He is the brutish and short-tempered second-in-command of the Black Dragon clan.
jax	Jax Briggs	Male	US	Mortal Kombat	For Duty	In the Special Forces' chain of command, he is Sonya Blade's direct superior.
jin	Jin Kazama	Male	JP	Tekken	For a Female	He wishes to avenge the apparent death of his mother Jun Kazama.
jinpachi	Jinpachi Mishima	Male	JP	Tekken	Dominance	A legendary martial artist, Jinpachi founded the mega corporation Mishima Zaibatsu.
johnny_cage	Johnny Cage	Male	US	Mortal Kombat	Dominance	He entered the Mortal Kombat tournament to display his fighting skills and prove himself to skeptical movie critics.
josie	Josie Rizal	Female	PH	Tekken	For a Male	She reluctantly agrees to her parents expectations and train Kickboxing.
juli	Juli	Female	DE	Street Fighter	For Duty	Along with her partner Juni, she is a brainwashed female assassin belonging to M. Bison's elite guard.
julia	Julia Chang	Female	US	Tekken	Save the World	Her storyline typically involves saving her tribe's forest.
jun	Jun Kazama	Female	JP	Tekken	Save the World	She is an officer of the wildlife protection organization WWWC.
juni	Juni	Female	DE	Street Fighter	For Duty	She is a brainwashed female assassin belonging to M. Bison's elite guard, the Dolls.
juri	Juri Han	Female	KR	Street Fighter	Antisocial	She is a brutal South Korean Taekwondo martial artist who derives pleasure from inflicting pain on others.
kai	Kai	Male	NP	Mortal Kombat	Unclear	He is a nimble and agile Nepali fighter of the Gurkha warrior class.
kairi	Kairi	Male	JP	Street Fighter Spinoffs	Dominance	He fights to challenge his limits and recover his memories.
kano	Kano	Male	AU	Mortal Kombat	Dominance	He is the leader of the international crime cartel known as the Black Dragon.
karin	Karin Kanzuki	Female	JP	Street Fighter	For a Male	Her father is a rather strict man as he constantly pushes his daughter into becoming a better heir to the Kanzuki family fortune, as he wanted a son.
kasumi	Kasumi	Female	JP	Dead or Alive	For a Male	She wants to find Raidou and take revenge on him for Hayate.
katarina	Katarina Alves	Female	BR	Tekken	For a Male	She is currently searching for her missing adoptive father.
kazumi	Kazumi Mishima	Female	JP	Tekken	Save the World	She married to Heihachi because her clan foresaw his attempted world domination in the future and sent her to kill him.
kazuya	Kazuya Mishima	Male	JP	Tekken	For a Male	He seeks to take revenge against his father for having thrown him down a cliff years prior.
ken	Ken Masters	Male	US	Street Fighter	Dominance	His goal is to test his power against many different fighters and strives to become stronger.
kenshi	Kenshi Takahashi	Male	JP	Mortal Kombat	Save the World	He is contacted by Raiden and agrees to fight for Earthrealm in the Mortal Kombat Tournament.
khyber	Khyber	Male	US	Street Fighter Spinoffs	For Duty	He is an elite soldier of Shadaloo who specializes in the use of pyrotechnics.
king	King	Male	MX	Tekken	Save the World	He is a Catholic priest who became a masked wrestler in order to support an orphanage.
kira	Kira	Female	N/A	Mortal Kombat	Unclear	She possesses a rationality and level-headedness that contrasts her fellow recruit, the hot-blooded Kobra.
kobra	Kobra	Male	US	Mortal Kombat	Antisocial	Infamous for his brutality and savage killings, Kobra shows no mercy to his opponents.
kokoro	Kokoro	Female	JP	Dead or Alive	Unclear	She has a love for the martial arts and started to train herself in the art of baji quan as a result.
kolin	Kolin	Female	N/A	Street Fighter	For Duty	She is a conniving and devoted agent of the Illuminati.
kuai	Kuai Liang	Male	CN	Mortal Kombat	For a Male	He swore revenge on Scorpion for killing his brother Bi-Han.
kung_jin	Kung Jin	Other	CN	Mortal Kombat	Save the World	He fights to protect Earthrealm in honor of his family.
kung_lao	Kung Lao	Male	CN	Mortal Kombat	For a Male	He is eager to prove himself equal to Liu Kang.
kunimitsu	Kunimitsu	Female	JP	Tekken	For a Male	She enters the second tournament to claim a sword for her grandfather.
kurtis	Kurtis Stryker	Male	US	Mortal Kombat	For Duty	He is a leader of the Special Riot Control division in the New York City Police Department.
lars	Lars Alexandersson	Male	SE	Tekken	For Duty	He is a member of the Tekken Force paramilitary unit, confronting the corrupt Mishima Zaibatsu corporation.
laura	Laura Matsuda	Female	BR	Street Fighter	Dominance	She has a desire to promote her family's fighting style.
lee	Lee Chaolan	Male	CN	Tekken	For a Male	He is embroiled in a one-sided rivalry with his adoptive brother, Kazuya Mishima.
lei	Lei Wulong	Male	CN	Tekken	For Duty	He is a police officer who investigates the Mishima Zaibatsu.
leifang	Leifang	Female	CN	Dead or Alive	For a Male	Throughout the series, she seeks to fight Jann Lee, to prove herself to him.
leo	Leo Kliesen	Other	DE	Tekken	For a Female	Leo seeks the truth about the murder of their mother.
leon	Leon	Male	IT	Dead or Alive	Dominance	He entered the Dead or Alive Tournaments to prove that he was the strongest man in the world.
lili	Lili De Rochefort	Female	MC	Tekken	For a Male	She clashes with her father over his dealings with devious Mishima Zaibatsu corporation.
xiaoyu	Ling Xiaoyu	Female	CN	Tekken	Unclear	She is a sixteen-year-old Chinese martial artist.
lisa	Lisa Hamilton	Female	US	Dead or Alive	Unclear	As a former scientist for DOATEC, she has a mysterious, shadowed past.
liu	Liu Kang	Male	CN	Mortal Kombat	Save the World	He is one of Earthrealm's greatest warriors, having defeated many to prove his valor.
luna	Luna	Female	N/A	Dead or Alive	Unclear	She had come to investigate Zack Island to discover its secrets.
m_bison	M. Bison	Male	N/A	Street Fighter	Dominance	He is a self-imposed dictator and megalomaniac seeking world domination.
mai	Mai Shiranui	Female	JP	Dead or Alive	For a Male	She found Prince Charming in Andy and self-proclaimed herself his fiancé.
maki	Maki Genryusai	Female	JP	Street Fighter	Indefinite	She is a speedy ninja along the same lines as Guy, and sister to his fiance, Rena.
makoto	Makoto	Female	JP	Street Fighter	For a Male	She is a tomboyish Japanese teenager looking to bring back the glory to her late father's dojo.
marie	Marie Rose	Female	SE	Dead or Alive	For a Female	She is the servant of Helena Douglas.
law	Marshall Law	Male	US	Tekken	Dominance	He enters the first King of Iron Fist Tournament in hopes of opening his own dojo with the winnings.
raven	Master Raven	Female	N/A	Tekken	For Duty	She is an agent for the UN's intelligence bureau.
mavado	Mavado	Male	N/A	Mortal Kombat	Antisocial	He is depicted as a vicious, pitiless, and cruel crimelord.
menat	Menat	Female	EG	Street Fighter	For a Female	She is the Soul Power wielding apprentice of Rose.
michelle	Michelle Chang	Female	US	Tekken	For a Male	She enters The King of Iron Fist Tournament in order to take revenge for his father against Heihachi.
miguel	Miguel Caballero Rojo	Male	ES	Tekken	For a Female	He fights to avenge his sister who is killed on her wedding day by Mishima Zaibatsu fighter jets.
miharu	Miharu Hirano	Female	JP	Tekken	For a Male	She fights to be reunited with Jin and to unveil the truth behind Heihachi and the Mishima Zaibatsu.
mila	Mila	Female	ES	Dead or Alive	For a Male	She has been a huge fan of Bass Armstrong since she was a child.
misaki	Misaki	Female	JP	Dead or Alive	For Duty	She is the assistant to the unnamed temporary owner of New Zack Island.
miyako	Miyako	Female	JP	Dead or Alive	Unclear	She was revealed to have become the head of DOATEC Japan.
mokap	Mokap	Male	US	Mortal Kombat	Unclear	His circumstances are very mysterious and also vague.
momiji	Momiji	Female	JP	Dead or Alive	For a Male	She supports and follows her master whenever he comes around.
nanase	Nanase	Female	JP	Street Fighter Spinoffs	For a Male	Since her sister left to find their brother and never return, she was forced to learn and become a master of the art of her family.
naotora	Naotora Ii	Female	JP	Dead or Alive	Dominance	She sets out to emerge victorious from this strange new challenge.
necalli	Necalli	Male	N/A	Street Fighter	Indefinite	He is an ancient, mysterious entity searching for souls of powerful fighters to devour.
necro	Necro	Male	RU	Street Fighter	For Duty	He is a Russian, genetically experimented on by the Illuminati.
nightwolf	Nightwolf	Male	US	Mortal Kombat	Save the World	He is a proud and fierce Apache warrior dedicated to the cause of good.
nina	Nina Williams	Female	IE	Tekken	For Duty	She was contracted to assassinate the current head of Mishima Zaibatsu.
nyotengu	Nyotengu	Female	JP	Dead or Alive	Antisocial	She appears to enjoy fighting, especially inflicting pain on her opponents, hinting at a sadistic motivation.
oro	Oro	Male	JP	Street Fighter	Dominance	He is an ancient, mysterious hermit who seeks a fighter that is worthy to inherit his fighting style.
pai	Pai Chan	Female	CN	Dead or Alive	For a Male	She blamed her father for her mothers death and vowed to defeat him in combat.
paul	Paul Phoenix	Male	US	Tekken	Dominance	He fights in hopes of winning the prize money and to prove he is the world's best fighter.
poison	Poison	Other	US	Street Fighter	For Duty	She is an ex-member of the Mad Gear Gang.
pullum	Pullum Purna	Female	N/A	Street Fighter Spinoffs	For a Male	She is an exotic Middle Eastern heiress traveling the world to find her missing father.
q	Q	Male	N/A	Street Fighter	Indefinite	He is a mysterious individual of unknown origin whose face is concealed by an expressionless metallic mask.
rachel	Rachel	Female	N/A	Dead or Alive	Save the World	Her goal in life is to hunt down and destroy all demons in existence.
raidou	Raidou	Male	JP	Dead or Alive	Dominance	He is a power-hungry warrior.
r_mika	Rainbow Mika	Female	JP	Street Fighter	Dominance	She is a Japanese professional wrestler from the Iwashigahama Japan Women's Pro-Wrestling organization.
rashid	Rashid	Male	AE	Street Fighter	For a Male	Rashid is travelling the world in search of a missing friend who has been kidnapped by Shadaloo.
raven_	Raven	Male	N/A	Tekken	For Duty	He is an agent for the UN's intelligence bureau.
remy	Remy	Male	FR	Street Fighter	For a Male	He is a young savateur from Paris, seeking revenge against his father for abandoning him and his sister.
rig	Rig	Male	CA	Dead or Alive	For Duty	It is revealed in the very last chapters that he is working with MIST.
rio	Rio	Female	US	Dead or Alive	Unclear	She is the main character and the official mascot character of Tecmo's Super Black Jack.
rolento	Rolento F. Schugerg	Male	US	Street Fighter	For Duty	He is a former member of the Mad Gear Gang, obsessed with turning Metro City into a military utopia.
rose	Rose	Female	IT	Street Fighter	Save the World	A fortune teller from Genoa, Rose sensed that Doomsday was approaching, and that a person of great evil was causing it.
ruby	Ruby	Female	N/A	Tekken Spinoffs	Unclear	Her story is unknown, same with her full name and origin.
rufus	Rufus	Male	US	Street Fighter	For a Male	He is an obese American kung-fu fighter and self-professed rival to Ken Masters.
ryu	Ryu	Male	JP	Street Fighter	Dominance	He is an experienced martial artist, highly focused on his training, aiming to become the strongest he can.
ryu_hayabusa	Ryu Hayabusa	Male	JP	Dead or Alive	For a Female	He joined the tournament as a participant in order to keep an eye on Kasumi.
sagat	Sagat	Male	TH	Street Fighter	For Duty	He is a personal bodyguard for M. Bison.
sakura	Sakura Kasugano	Female	JP	Street Fighter	For a Male	She has an intense fixation on Ryu and chase him around the world to prove herself to him.
sarah	Sarah Bryant	Femae	US	Dead or Alive	For a Male	She had become suspicious of the circumstances surrounding her older brother's horrible accident.
sawada	Sawada	Male	JP	Street Fighter Spinoffs	For Duty	He is a soldier of the Allied Nations, serving with Guile to thwart Shadaloo's attempt at world domination.
scorpion	Scorpion	Male	JP	Mortal Kombat	For a Male	He seeks vengeance against those responsible for the destruction of his clan and the death of his own family.
sean	Sean Matsuda	Male	BR	Street Fighter	For a Male	He is a confident amateur martial artist from Brazil who idolizes Ken, eventually becoming his disciple.
sebastian	Sebastian	Male	MC	Tekken	For Duty	He serves as Lili's butler.
dragunov	Sergei Dragunov	Male	RU	Tekken	For Duty	He is a Russian Spetsnaz soldier.
seth	Seth	Male	N/A	Street Fighter	Dominance	He is the CEO of Shadaloo's weapon division, and one of many genetically engineered replacement bodies for M. Bison.
shadowgeist	Shadowgeist	Male	N/A	Street Fighter Spinoffs	For a Female	He seeks revenge for his murdered wife and missing daughter.
shaheen	Shaheen	Male	SA	Tekken	For Duty	He is a bodyguard for a Private Military Company, who is tasked in protecting key figures in the world.
shang	Shang Tsung	Male	CN	Mortal Kombat	Antisocial	In the Mortal Kombat series, he is the epitome of cunning and decadence.
sharon	Sharon	Female	FR	Street Fighter Spinoffs	For Duty	She is an agent for a secret intelligence group, currently living a double life as a nun for the orphanage she was raised in.
shiden	Shiden	Male	JP	Dead or Alive	Unclear	He is a shinobi and the former master of the Mugen Tenshin clan.
shin	Shin	Male	KR	Street Fighter Spinoffs	Indefinite	He is a confident South Korean man who gives up music and painting to become a Taekwondo martial artist.
shujinko	Shujinko	Male	JP	Mortal Kombat	For a Male	He is an adventurer who, as a boy, dreamed of fighting Shang Tsung.
skullomania	Skullomania	Male	JP	Street Fighter Spinoffs	Save the World	He is a third-rate businessman who takes up a superhero identity by donning a full-body skeleton suit.
smoke	Smoke	Male	CZ	Mortal Kombat	Unclear	He is a tortured human soul trapped in the body of a cyborg.
sodom	Sodom	Male	US	Street Fighter	For Duty	He is an American Japanophile, and former member of the Mad Gear Gang.
sonya	Sonya Blade	Female	US	Mortal Kombat	For Duty	She commands all the operations of the Special Forces and Units.
steve	Steve Fox	Male	GB	Tekken	For a Female	He fights to escape the mafia and find his mother.
takeda	Takeda Takahashi	Male	TH	Mortal Kombat	Save the World	He joined a new team formed by the Special Forces dedicated to protecting Earthrealm.
t_hawk	Thunder Hawk	Male	MX	Street Fighter	For a Male	He is a Native American from Mexico who wants to avenge his father and reclaim the land that was taken from his people.
tiger	Tiger Miyagi	Male	N/A	Tekken Spinoffs	Unclear	He is an Asian karate fighter.
tina	Tina Armstrong	Female	US	Dead or Alive	Dominance	She enters the tournaments to get discovered, with a goal of becoming famous in Hollywood.
twelve	Twelve	Male	N/A	Street Fighter	For Duty	He is a shapeshifting humanoid weapon developed by the Illuminati.
urien	Urien	Male	N/A	Street Fighter	Dominance	He is a ruthless former disciple of the Illuminati.
vega	Vega	Male	ES	Street Fighter	For Duty	He is a claw-wielding, narcissistic, Spanish ninja, obsessed with beauty and personal bodyguard to M. Bison.
vulcano	Vulcano Russo	Male	IT	Street Fighter Spinoffs	For a Female	He is a mysterious Italian fighter seeking revenge for the murder of his lover.
wang	Wang Jinrei	Male	CN	Tekken	For a Male	He fights to fulfill the deceased Jinpachi's wishes of eliminating Heihachi and Jinpachi's grandson Kazuya.
yang	Yang	Male	CN	Street Fighter	Indefinite	He is an introverted inline skater from Hong Kong, skilled in the art of Chinese Kung Fu.
yoshimitsu	Yoshimitsu	Male	JP	Tekken	Save the World	His clan is dedicated to a mission to help the weak and fight oppression.
yue	Yue	Female	N/A	Tekken Spinoffs	Unclear	She is an Asian fighter.
yun	Yun	Male	CN	Street Fighter	Indefinite	He is skilled in the art of Chinese Kung Fu, and the older twin brother to Yang.
zack	Zack	Male	US	Dead or Alive	Dominance	He only enters the Dead or Alive Tournaments for money and fame.
zafina	Zafina	Female	EG	Tekken	Save the World	She was born into an ancient bloodline of dispellers of evil and possesses spiritual powers.
zangief	Zangief	Male	RU	Street Fighter	For Duty	He is a national Russian hero who is always seen fighting for the glory of his country.
zeku	Zeku	Male	JP	Street Fighter	Indefinite	He was formerly a grandmaster but after being succeeded by his pupil, he set out on a journey of self-discovery.
luckychloe	Lucky Chloe	Female	JP	Tekken	Unclear	She is hired by G Corporation to be a mascot commercial
deviljin	Devil Jin	Male	JP	Tekken	Dominance	He seeks to achieve ultimate power and will do whatever it takes to achieve it.
